GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SpotifyUM,org.Model.Playlist,Playlist,35,259,7,15,10,61,10,21,4,16
SpotifyUM,org.Model.Playlist,PlaylistRandom,4,71,2,2,0,18,2,6,0,6
SpotifyUM,org.Model.Playlist,PlaylistFavorites,2,73,1,3,0,18,1,7,0,6
SpotifyUM,org.Model.Playlist,PlaylistCreator,3,239,2,28,1,48,3,17,1,4
SpotifyUM,org.Model.Plan,PlanPremiumBase,0,34,0,0,0,15,0,9,0,9
SpotifyUM,org.Model.Plan,PlanPremiumTop,0,42,0,0,0,15,0,9,0,9
SpotifyUM,org.Model.Plan,PlanFree,0,34,0,0,0,15,0,9,0,9
SpotifyUM,org.Model.Plan,Plan,0,10,0,0,0,4,0,3,0,3
SpotifyUM,org.Model.Album,Album,8,191,0,10,4,50,2,18,2,13
SpotifyUM,org,App,20,0,0,0,6,0,2,0,2,0
SpotifyUM,org.Controller.dtos,MusicInfo,0,66,0,0,0,24,0,9,0,9
SpotifyUM,org.Model,SpotifUM,1913,395,68,18,281,94,113,24,73,21
SpotifyUM,org.Exceptions,NotFoundException,0,10,0,0,0,4,0,2,0,2
SpotifyUM,org.Exceptions,EmptyPlaylistException,0,9,0,0,0,4,0,2,0,2
SpotifyUM,org.Exceptions,AlreadyExistsException,0,10,0,0,0,4,0,2,0,2
SpotifyUM,org.Exceptions,NoPremissionException,0,10,0,0,0,4,0,2,0,2
SpotifyUM,org.Exceptions,NoArtistsInDatabaseException,0,9,0,0,0,4,0,2,0,2
SpotifyUM,org.Exceptions,NoUsersInDatabaseException,0,9,0,0,0,4,0,2,0,2
SpotifyUM,org.Exceptions,NoReproductionsInDatabaseException,0,9,0,0,0,4,0,2,0,2
SpotifyUM,org.Exceptions,NoMusicsInDatabaseException,0,9,0,0,0,4,0,2,0,2
SpotifyUM,org.View,PlanMenu,99,63,6,5,12,22,4,6,1,2
SpotifyUM,org.View,PlaylistCreationMenu,51,107,0,4,7,33,1,7,1,4
SpotifyUM,org.View,StatisticsMenu,132,143,3,14,16,45,4,13,1,4
SpotifyUM,org.View,AdminMenu,219,89,7,5,45,29,6,8,2,4
SpotifyUM,org.View,ProfileEditorMenu,79,116,0,8,9,34,1,8,1,2
SpotifyUM,org.View,ReproductionMenu.PlayerAction,0,27,0,0,0,2,0,1,0,1
SpotifyUM,org.View,PlaylistMenu,150,193,1,9,22,57,3,13,2,6
SpotifyUM,org.View,MenuManager,12,17,2,0,4,6,2,3,1,3
SpotifyUM,org.View,ReproductionMenu,569,280,69,26,140,78,50,14,6,8
SpotifyUM,org.View,MainMenu,91,66,5,4,14,19,4,5,1,2
SpotifyUM,org.View,ProfileMenu,82,58,2,3,12,18,3,4,1,2
SpotifyUM,org.View,LoginMenu,74,127,3,4,13,37,4,6,1,4
SpotifyUM,org.View,Menu,35,83,3,1,6,26,3,11,1,11
SpotifyUM,org.Model.Music,Music,6,317,3,7,0,85,2,30,0,27
SpotifyUM,org.Model.Music,MusicReproduction,0,56,0,0,0,20,0,9,0,9
SpotifyUM,org.Model.Music,MusicMultimedia,6,76,3,7,0,20,2,11,0,8
SpotifyUM,org.Model.User,User,304,339,36,28,65,86,36,30,10,24
SpotifyUM,org.Utils,BrowserOpener,43,0,2,0,13,0,3,0,2,0
SpotifyUM,org.Utils,Serialization,8,49,1,1,2,12,2,2,1,2
SpotifyUM,org.Utils,MusicPlayer,49,22,3,1,15,6,2,2,0,2
SpotifyUM,org.Controller,Controller,0,774,0,34,0,214,0,69,0,52
